pseudocode,sdmp_plan_yn,struct_safaud_yn,nonstr_safaud_yn,cctv_cam_yn,fire_ext_yn,nodal_tch_yn,safty_trng_yn,dismgmt_taug_yn,slfdef_grt_yn,slfdef_trained,guide_display_yn,tch_first_level_counsellor,safe_sec_audit,teacher_displaying_photo,vidya_pravesh,stu_atndnc_yn,tch_atndnc_yn,sch_youth_club_yn,sch_eco_club_yn,tch_icard_yn,self_cert_obtained_yn
3874880,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
8712680,1,1,1,2,1,1,2,1,9,0,1,2,2,1,1,2,2,1,1,1,1
5096815,1,1,1,2,1,1,1,1,9,0,1,1,3,1,1,2,2,1,1,1,1
3087264,1,1,1,2,1,1,1,1,9,0,1,2,1,1,1,2,2,1,1,1,1
2979472,1,2,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
2592242,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
5704036,1,1,1,2,1,1,2,1,9,0,1,1,1,1,1,2,2,1,1,1,1
1294087,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
9711359,1,1,1,2,1,1,2,1,9,0,1,1,2,1,1,2,2,1,1,1,1
7016854,1,1,2,2,1,1,1,1,9,0,1,2,1,1,2,2,2,1,1,2,1
8867722,1,1,1,2,1,1,2,1,9,0,1,2,2,1,1,2,2,1,1,1,1
8086157,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
1054871,1,2,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
7405441,1,1,1,2,1,2,1,1,9,0,1,2,2,1,1,2,2,1,1,1,1
7841035,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
7055128,1,1,1,2,1,2,2,1,9,0,1,2,6,1,1,2,2,2,1,1,2
1026198,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
7524390,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
9650468,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
8486188,1,1,1,2,1,1,1,1,2,0,1,1,3,1,1,2,2,1,1,1,1
7245067,1,1,2,2,1,1,1,1,9,0,1,1,4,1,1,2,2,1,1,1,1
4957986,1,1,1,1,1,1,1,1,9,0,1,1,5,1,1,2,2,1,1,1,1
6298139,1,1,1,2,1,1,1,1,2,0,1,1,4,1,1,2,2,1,1,1,1
3480324,1,1,2,1,1,1,2,1,1,60,1,1,5,1,1,2,3,1,1,1,1
1953530,1,1,1,2,1,1,1,1,1,10,1,1,2,1,1,2,2,1,1,1,1
6238303,1,1,1,1,1,1,1,1,1,50,1,1,3,1,1,2,2,1,1,1,1
3752308,1,1,1,1,1,1,1,1,9,0,1,2,6,1,1,1,1,1,1,2,1
1746209,1,1,1,1,1,1,1,1,2,0,1,1,2,1,1,1,1,1,1,1,1
1610172,1,1,1,2,1,1,1,2,9,0,1,1,2,1,1,2,2,1,1,1,2
4844563,1,1,2,2,1,1,2,1,9,0,1,1,5,1,1,2,2,1,1,1,1
2680102,1,1,2,2,1,1,1,1,9,0,1,1,5,1,1,2,2,1,1,1,1
2052302,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
9974473,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,2,1,1,1
3752644,1,1,1,1,1,1,1,1,2,0,1,2,1,1,1,2,2,1,1,1,1
8789511,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
3009090,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
7045934,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
8078626,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
8664836,1,1,1,2,1,1,2,1,9,0,1,1,4,1,1,2,2,1,1,1,1
3858382,1,1,2,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
8435333,1,1,1,2,1,1,1,1,9,0,1,1,5,1,1,2,2,1,1,1,1
8393279,1,1,1,2,1,1,1,1,9,0,1,1,4,1,1,2,2,2,1,1,1
