_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly River Water Discharge (m3/sec),discharge_change_m3s,time_difference_hours,discharge_rate_m3s_per_hour,discharge_rolling_mean_1h,discharge_rolling_std_1h,discharge_change_abs,discharge_rate_abs,anomaly_flag,anomaly_score,anomaly_label
40072,40072,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 14:45:00,6.95,0.1000000000000005,0.25,0.4000000000000021,6.755,0.174068951855292,0.1000000000000005,0.4000000000000021,1,-0.297981688211707,NORMAL
40073,40073,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 15:00:00,6.58,-0.3700000000000001,0.25,-1.4800000000000004,6.754999999999999,0.174068951855292,0.3700000000000001,1.4800000000000004,1,-0.28716596013561607,NORMAL
40074,40074,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 15:15:00,6.81,0.2299999999999995,0.25,0.9199999999999982,6.7975,0.1564981363041314,0.2299999999999995,0.9199999999999982,1,-0.2994504833110224,NORMAL
40075,40075,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 15:30:00,6.8,-0.0099999999999997,0.25,-0.0399999999999991,6.785,0.15286159317064096,0.0099999999999997,0.0399999999999991,1,-0.28699060413287786,NORMAL
40076,40076,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 15:45:00,6.63,-0.1699999999999999,0.25,-0.6799999999999997,6.705,0.11733143937865463,0.1699999999999999,0.6799999999999997,1,-0.3010528747223245,NORMAL
40077,40077,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 16:00:00,6.65,0.0200000000000004,0.25,0.0800000000000018,6.7225,0.0956991814663714,0.0200000000000004,0.0800000000000018,1,-0.28893825320913363,NORMAL
40078,40078,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 16:15:00,6.93,0.2799999999999993,0.25,1.1199999999999974,6.7524999999999995,0.14056433876817154,0.2799999999999993,1.1199999999999974,1,-0.29276602180959505,NORMAL
40079,40079,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 16:30:00,6.97,0.04,0.25,0.1600000000000001,6.795,0.17990738358018077,0.04,0.1600000000000001,1,-0.2916541960404027,NORMAL
40080,40080,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 16:45:00,6.69,-0.2799999999999993,0.25,-1.1199999999999974,6.81,0.16329931618554358,0.2799999999999993,1.1199999999999974,1,-0.2940265384193844,NORMAL
40081,40081,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 17:00:00,6.48,-0.2099999999999999,0.25,-0.8399999999999999,6.7675,0.22808989455914,0.2099999999999999,0.8399999999999999,1,-0.29961497369431367,NORMAL
40082,40082,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 17:15:00,6.85,0.3699999999999992,0.25,1.4799999999999969,6.7475000000000005,0.21203380233663935,0.3699999999999992,1.4799999999999969,1,-0.2853034098739792,NORMAL
40083,40083,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 17:30:00,6.85,0.0,0.25,0.0,6.7175,0.17538053863907818,0.0,0.0,1,-0.2724469766543686,NORMAL
40084,40084,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 17:45:00,6.98,0.1300000000000007,0.25,0.5200000000000031,6.79,0.21556128285632925,0.1300000000000007,0.5200000000000031,1,-0.2976084514719728,NORMAL
40085,40085,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 18:00:00,6.15,-0.8300000000000001,0.25,-3.3200000000000003,6.7075000000000005,0.37668510279365525,0.8300000000000001,3.3200000000000003,1,-0.2160562011209856,NORMAL
40086,40086,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 18:15:00,6.54,0.3899999999999997,0.25,1.5599999999999987,6.63,0.3694139502870283,0.3899999999999997,1.5599999999999987,1,-0.28003840132207625,NORMAL
40087,40087,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 18:30:00,6.89,0.3499999999999996,0.25,1.3999999999999986,6.640000000000001,0.3778006529022065,0.3499999999999996,1.3999999999999986,1,-0.27813905550305185,NORMAL
40088,40088,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 18:45:00,6.97,0.08,0.25,0.3200000000000003,6.6375,0.3748221800623152,0.08,0.3200000000000003,1,-0.28122928548117243,NORMAL
40089,40089,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 19:00:00,6.73,-0.2399999999999993,0.25,-0.9599999999999972,6.7825,0.1899780689097184,0.2399999999999993,0.9599999999999972,1,-0.2976918927996107,NORMAL
40090,40090,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 19:15:00,6.56,-0.1700000000000008,0.25,-0.6800000000000033,6.7875,0.18154430129677004,0.1700000000000008,0.6800000000000033,1,-0.30213670076691207,NORMAL
40091,40091,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 19:30:00,6.75,0.1900000000000004,0.25,0.7600000000000016,6.7524999999999995,0.16820126832656762,0.1900000000000004,0.7600000000000016,1,-0.30245227592619384,NORMAL
40092,40092,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 19:45:00,6.59,-0.1600000000000001,0.25,-0.6400000000000006,6.6575,0.09639329160614156,0.1600000000000001,0.6400000000000006,1,-0.3024432323546421,NORMAL
