_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly River Water Discharge (m3/sec),discharge_change_m3s,time_difference_hours,discharge_rate_m3s_per_hour,level_score,rate_score,risk_score,risk_category,anomaly_score,anomaly_label,predicted_discharge_1h,anomaly_severity,forecast_severity,hybrid_hazard_score,hybrid_risk_category,forecast_available
40044,40044,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 07:45:00,6.65,-0.3199999999999994,0.25,-1.2799999999999976,40,40,40.0,MODERATE,-0.2921547096195606,NORMAL,,0.0,0,20.0,LOW,False
40045,40045,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 08:00:00,6.5,-0.1500000000000003,0.25,-0.6000000000000014,40,10,28.0,LOW,-0.3023181149225282,NORMAL,,0.0,0,14.0,LOW,False
40046,40046,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 08:15:00,6.8,0.2999999999999998,0.25,1.1999999999999993,40,40,40.0,MODERATE,-0.2921782531564746,NORMAL,,0.0,0,20.0,LOW,False
40047,40047,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 08:30:00,6.51,-0.29,0.25,-1.16,40,40,40.0,MODERATE,-0.2955542200148672,NORMAL,,0.0,0,20.0,LOW,False
40048,40048,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 08:45:00,6.61,0.1000000000000005,0.25,0.4000000000000021,40,10,28.0,LOW,-0.3032705926619498,NORMAL,,0.0,0,14.0,LOW,False
40049,40049,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 09:00:00,6.74,0.1299999999999999,0.25,0.5199999999999996,40,10,28.0,LOW,-0.3022101026982031,NORMAL,,0.0,0,14.0,LOW,False
40050,40050,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 09:15:00,6.7,-0.04,0.25,-0.1600000000000001,40,10,28.0,LOW,-0.293178033529634,NORMAL,,0.0,0,14.0,LOW,False
40051,40051,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 09:30:00,6.76,0.0599999999999996,0.25,0.2399999999999984,40,10,28.0,LOW,-0.2923565207239616,NORMAL,,0.0,0,14.0,LOW,False
40052,40052,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 09:45:00,6.71,-0.0499999999999998,0.25,-0.1999999999999993,40,10,28.0,LOW,-0.2877358324123349,NORMAL,,0.0,0,14.0,LOW,False
40053,40053,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 10:00:00,6.47,-0.2400000000000002,0.25,-0.9600000000000009,40,10,28.0,LOW,-0.299470204975461,NORMAL,,0.0,0,14.0,LOW,False
