_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly River Water Discharge (m3/sec),discharge_change_m3s,time_difference_hours,discharge_rate_m3s_per_hour,level_score,rate_score,risk_score,risk_category
40024,40024,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 02:30:00,6.86,0.3900000000000005,0.25,1.5600000000000025,40,40,40.0,MODERATE
40025,40025,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 02:45:00,6.87,0.0099999999999997,0.25,0.0399999999999991,40,10,28.0,LOW
40026,40026,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 03:00:00,7.02,0.1499999999999994,0.25,0.5999999999999979,40,10,28.0,LOW
40027,40027,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 03:15:00,6.81,-0.2099999999999999,0.25,-0.8399999999999999,40,10,28.0,LOW
40028,40028,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 03:30:00,6.62,-0.1899999999999995,0.25,-0.759999999999998,40,10,28.0,LOW
40029,40029,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 03:45:00,6.9,0.2800000000000002,0.25,1.120000000000001,40,40,40.0,MODERATE
40030,40030,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 04:00:00,6.67,-0.2300000000000004,0.25,-0.9200000000000016,40,10,28.0,LOW
40031,40031,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 04:15:00,6.96,0.29,0.25,1.16,40,40,40.0,MODERATE
40032,40032,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 04:30:00,6.48,-0.4799999999999995,0.25,-1.9199999999999984,40,40,40.0,MODERATE
40033,40033,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 04:45:00,6.68,0.1999999999999993,0.25,0.7999999999999972,40,10,28.0,LOW
40034,40034,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 05:00:00,6.7,0.0200000000000004,0.25,0.0800000000000018,40,10,28.0,LOW
40035,40035,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 05:15:00,6.9,0.2000000000000001,0.25,0.8000000000000007,40,10,28.0,LOW
40036,40036,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 05:30:00,6.76,-0.1400000000000005,0.25,-0.5600000000000023,40,10,28.0,LOW
40037,40037,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 05:45:00,6.53,-0.2299999999999995,0.25,-0.9199999999999982,40,10,28.0,LOW
40038,40038,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 06:15:00,6.44,-0.0899999999999998,0.5,-0.1799999999999997,40,10,28.0,LOW
40039,40039,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 06:30:00,6.77,0.3299999999999992,0.25,1.3199999999999967,40,40,40.0,MODERATE
40040,40040,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 06:45:00,6.46,-0.3099999999999996,0.25,-1.2399999999999984,40,40,40.0,MODERATE
40041,40041,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 07:00:00,6.88,0.4199999999999999,0.25,1.6799999999999995,40,40,40.0,MODERATE
40042,40042,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 07:15:00,6.82,-0.0599999999999996,0.25,-0.2399999999999984,40,10,28.0,LOW
40043,40043,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 07:30:00,6.97,0.1499999999999994,0.25,0.5999999999999979,40,10,28.0,LOW
40044,40044,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 07:45:00,6.65,-0.3199999999999994,0.25,-1.2799999999999976,40,40,40.0,MODERATE
40045,40045,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 08:00:00,6.5,-0.1500000000000003,0.25,-0.6000000000000014,40,10,28.0,LOW
40046,40046,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 08:15:00,6.8,0.2999999999999998,0.25,1.1999999999999993,40,40,40.0,MODERATE
40047,40047,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 08:30:00,6.51,-0.29,0.25,-1.16,40,40,40.0,MODERATE
40048,40048,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 08:45:00,6.61,0.1000000000000005,0.25,0.4000000000000021,40,10,28.0,LOW
40049,40049,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 09:00:00,6.74,0.1299999999999999,0.25,0.5199999999999996,40,10,28.0,LOW
40050,40050,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 09:15:00,6.7,-0.04,0.25,-0.1600000000000001,40,10,28.0,LOW
40051,40051,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 09:30:00,6.76,0.0599999999999996,0.25,0.2399999999999984,40,10,28.0,LOW
40052,40052,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 09:45:00,6.71,-0.0499999999999998,0.25,-0.1999999999999993,40,10,28.0,LOW
40053,40053,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 10:00:00,6.47,-0.2400000000000002,0.25,-0.9600000000000009,40,10,28.0,LOW
40054,40054,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 10:15:00,6.7,0.2300000000000004,0.25,0.9200000000000016,40,10,28.0,LOW
40055,40055,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 10:30:00,6.75,0.0499999999999998,0.25,0.1999999999999993,40,10,28.0,LOW
40056,40056,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 10:45:00,6.64,-0.1100000000000003,0.25,-0.4400000000000013,40,10,28.0,LOW
40057,40057,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 11:00:00,6.55,-0.0899999999999998,0.25,-0.3599999999999994,40,10,28.0,LOW
40058,40058,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 11:15:00,6.44,-0.1099999999999994,0.25,-0.4399999999999977,40,10,28.0,LOW
40059,40059,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 11:30:00,6.79,0.3499999999999996,0.25,1.3999999999999986,40,40,40.0,MODERATE
40060,40060,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 11:45:00,6.63,-0.1600000000000001,0.25,-0.6400000000000006,40,10,28.0,LOW
40061,40061,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 12:00:00,6.72,0.0899999999999998,0.25,0.3599999999999994,40,10,28.0,LOW
40062,40062,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 12:15:00,6.91,0.1900000000000004,0.25,0.7600000000000016,40,10,28.0,LOW
40063,40063,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 12:30:00,6.86,-0.0499999999999998,0.25,-0.1999999999999993,40,10,28.0,LOW
40064,40064,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 12:45:00,6.68,-0.1800000000000006,0.25,-0.7200000000000024,40,10,28.0,LOW
40065,40065,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 13:00:00,6.33,-0.3499999999999996,0.25,-1.3999999999999986,40,40,40.0,MODERATE
40067,40067,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 13:30:00,6.7,0.3700000000000001,0.5,0.7400000000000002,40,10,28.0,LOW
40068,40068,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 13:45:00,6.56,-0.1400000000000005,0.25,-0.5600000000000023,40,10,28.0,LOW
40069,40069,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 14:00:00,6.58,0.0200000000000004,0.25,0.0800000000000018,40,10,28.0,LOW
40070,40070,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 14:15:00,6.64,0.0599999999999996,0.25,0.2399999999999984,40,10,28.0,LOW
40071,40071,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 14:30:00,6.85,0.2099999999999999,0.25,0.8399999999999999,40,10,28.0,LOW
40072,40072,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 14:45:00,6.95,0.1000000000000005,0.25,0.4000000000000021,40,10,28.0,LOW
40073,40073,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 15:00:00,6.58,-0.3700000000000001,0.25,-1.4800000000000004,40,40,40.0,MODERATE
40074,40074,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 15:15:00,6.81,0.2299999999999995,0.25,0.9199999999999982,40,10,28.0,LOW
40075,40075,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 15:30:00,6.8,-0.0099999999999997,0.25,-0.0399999999999991,40,10,28.0,LOW
40076,40076,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 15:45:00,6.63,-0.1699999999999999,0.25,-0.6799999999999997,40,10,28.0,LOW
40077,40077,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 16:00:00,6.65,0.0200000000000004,0.25,0.0800000000000018,40,10,28.0,LOW
40078,40078,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 16:15:00,6.93,0.2799999999999993,0.25,1.1199999999999974,40,40,40.0,MODERATE
40079,40079,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 16:30:00,6.97,0.04,0.25,0.1600000000000001,40,10,28.0,LOW
40080,40080,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 16:45:00,6.69,-0.2799999999999993,0.25,-1.1199999999999974,40,40,40.0,MODERATE
40081,40081,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 17:00:00,6.48,-0.2099999999999999,0.25,-0.8399999999999999,40,10,28.0,LOW
40082,40082,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 17:15:00,6.85,0.3699999999999992,0.25,1.4799999999999969,40,40,40.0,MODERATE
40083,40083,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 17:30:00,6.85,0.0,0.25,0.0,40,10,28.0,LOW
40084,40084,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 17:45:00,6.98,0.1300000000000007,0.25,0.5200000000000031,40,10,28.0,LOW
40085,40085,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 18:00:00,6.15,-0.8300000000000001,0.25,-3.3200000000000003,10,40,22.0,LOW
40086,40086,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 18:15:00,6.54,0.3899999999999997,0.25,1.5599999999999987,40,40,40.0,MODERATE
40087,40087,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 18:30:00,6.89,0.3499999999999996,0.25,1.3999999999999986,40,40,40.0,MODERATE
40088,40088,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 18:45:00,6.97,0.08,0.25,0.3200000000000003,40,10,28.0,LOW
40089,40089,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 19:00:00,6.73,-0.2399999999999993,0.25,-0.9599999999999972,40,10,28.0,LOW
40090,40090,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 19:15:00,6.56,-0.1700000000000008,0.25,-0.6800000000000033,40,10,28.0,LOW
40091,40091,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 19:30:00,6.75,0.1900000000000004,0.25,0.7600000000000016,40,10,28.0,LOW
40092,40092,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 19:45:00,6.59,-0.1600000000000001,0.25,-0.6400000000000006,40,10,28.0,LOW
40093,40093,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 20:00:00,6.78,0.1900000000000004,0.25,0.7600000000000016,40,10,28.0,LOW
40094,40094,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 20:15:00,6.81,0.0299999999999993,0.25,0.1199999999999974,40,10,28.0,LOW
40095,40095,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 20:30:00,6.49,-0.3199999999999994,0.25,-1.2799999999999976,40,40,40.0,MODERATE
40096,40096,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 20:45:00,6.65,0.1600000000000001,0.25,0.6400000000000006,40,10,28.0,LOW
40097,40097,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 21:00:00,7.02,0.3699999999999992,0.25,1.4799999999999969,40,40,40.0,MODERATE
40098,40098,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 21:15:00,6.68,-0.3399999999999998,0.25,-1.3599999999999994,40,40,40.0,MODERATE
40099,40099,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 21:30:00,7.19,0.5100000000000007,0.25,2.0400000000000027,40,40,40.0,MODERATE
40100,40100,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 21:45:00,6.57,-0.6200000000000001,0.25,-2.4800000000000004,40,40,40.0,MODERATE
40101,40101,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 22:00:00,6.26,-0.3100000000000005,0.25,-1.240000000000002,40,40,40.0,MODERATE
40102,40102,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 22:15:00,6.39,0.1299999999999999,0.25,0.5199999999999996,40,10,28.0,LOW
40103,40103,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 22:30:00,6.66,0.2700000000000004,0.25,1.0800000000000018,40,40,40.0,MODERATE
40104,40104,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 22:45:00,6.69,0.0300000000000002,0.25,0.120000000000001,40,10,28.0,LOW
40105,40105,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 23:00:00,6.58,-0.1100000000000003,0.25,-0.4400000000000013,40,10,28.0,LOW
40106,40106,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 23:15:00,6.57,-0.0099999999999997,0.25,-0.0399999999999991,40,10,28.0,LOW
40107,40107,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 23:30:00,6.57,0.0,0.25,0.0,40,10,28.0,LOW
40108,40108,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 23:45:00,6.92,0.3499999999999996,0.25,1.3999999999999986,40,40,40.0,MODERATE
40109,40109,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 00:00:00,6.67,-0.25,0.25,-1.0,40,40,40.0,MODERATE
40110,40110,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 00:15:00,6.58,-0.0899999999999998,0.25,-0.3599999999999994,40,10,28.0,LOW
40111,40111,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 00:30:00,6.78,0.2000000000000001,0.25,0.8000000000000007,40,10,28.0,LOW
40112,40112,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 00:45:00,6.69,-0.0899999999999998,0.25,-0.3599999999999994,40,10,28.0,LOW
40113,40113,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 01:00:00,6.69,0.0,0.25,0.0,40,10,28.0,LOW
40114,40114,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 01:15:00,6.89,0.1999999999999993,0.25,0.7999999999999972,40,10,28.0,LOW
40115,40115,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 01:30:00,6.45,-0.4399999999999995,0.25,-1.759999999999998,40,40,40.0,MODERATE
40116,40116,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 01:45:00,6.47,0.0199999999999995,0.25,0.0799999999999983,40,10,28.0,LOW
40117,40117,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 02:00:00,6.84,0.3700000000000001,0.25,1.4800000000000004,40,40,40.0,MODERATE
40118,40118,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 02:15:00,6.37,-0.4699999999999997,0.25,-1.879999999999999,40,40,40.0,MODERATE
40119,40119,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 02:30:00,6.62,0.25,0.25,1.0,40,40,40.0,MODERATE
40120,40120,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 02:45:00,6.66,0.04,0.25,0.1600000000000001,40,10,28.0,LOW
40121,40121,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 03:00:00,6.49,-0.1699999999999999,0.25,-0.6799999999999997,40,10,28.0,LOW
40122,40122,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 03:15:00,6.94,0.4500000000000002,0.25,1.8000000000000007,40,40,40.0,MODERATE
40123,40123,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 03:30:00,7.0,0.0599999999999996,0.25,0.2399999999999984,40,10,28.0,LOW
40124,40124,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 03:45:00,6.36,-0.6399999999999997,0.25,-2.5599999999999987,40,40,40.0,MODERATE
40125,40125,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 04:00:00,6.7,0.3399999999999998,0.25,1.3599999999999994,40,40,40.0,MODERATE
40126,40126,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 04:15:00,6.7,0.0,0.25,0.0,40,10,28.0,LOW
40127,40127,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 04:30:00,6.63,-0.0700000000000002,0.25,-0.2800000000000011,40,10,28.0,LOW
40128,40128,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 04:45:00,6.14,-0.4900000000000002,0.25,-1.9600000000000009,10,40,22.0,LOW
40129,40129,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 05:00:00,6.97,0.8300000000000001,0.25,3.3200000000000003,40,40,40.0,MODERATE
40130,40130,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 05:15:00,6.85,-0.1200000000000001,0.25,-0.4800000000000004,40,10,28.0,LOW
40131,40131,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 05:30:00,6.67,-0.1799999999999997,0.25,-0.7199999999999989,40,10,28.0,LOW
40132,40132,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-02 05:45:00,6.56,-0.1100000000000003,0.25,-0.4400000000000013,40,10,28.0,LOW
