facility_id,facility_display_name,pseudocode,state,district,block,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,lgd_block_name,latitude,longitude,coordinate_source,coordinate_confidence
FACILITY_1700764,1,1700764,UTTARAKHAND,CHAMOLI,THARALI,1,,,Chaunda,Chounda,Tharali,,,MISSING,MISSING
FACILITY_1386632,1,1386632,UTTARAKHAND,CHAMOLI,DEWAL,1,,,Kandai,Kandai,Dewal,,,MISSING,MISSING
FACILITY_6338137,1,6338137,UTTARAKHAND,CHAMOLI,DASHOLI,1,,,Sonala,Sonla,Dasholi,,,MISSING,MISSING
FACILITY_8710201,7,8710201,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Pungaon,Pungaon,Gairsain,,,MISSING,MISSING
FACILITY_4133676,5,4133676,UTTARAKHAND,CHAMOLI,POKHARI,1,,,Sinau Palla,Sinau Palla,Pokhari,,,MISSING,MISSING
FACILITY_8618165,5,8618165,UTTARAKHAND,CHAMOLI,NARAYANBAGAR,1,,,Gadkot,Garhkot,Narayanbagar,,,MISSING,MISSING
FACILITY_3251176,5,3251176,UTTARAKHAND,CHAMOLI,POKHARI,1,,,Dhamak,Dhamak,Pokhari,,,MISSING,MISSING
FACILITY_8643742,4,8643742,UTTARAKHAND,CHAMOLI,NARAYANBAGAR,1,,,Nakholi,Nakholi,Narayanbagar,,,MISSING,MISSING
FACILITY_5247968,1,5247968,UTTARAKHAND,CHAMOLI,DEWAL,1,,,Himani Chack Bahantara,Himani,Dewal,,,MISSING,MISSING
FACILITY_9869269,4,9869269,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Ganoli,Ganoli,Karnaprayag,,,MISSING,MISSING
FACILITY_3478590,4,3478590,UTTARAKHAND,CHAMOLI,Jyotirmath,1,,,Hailang,Helang,Joshimath,,,MISSING,MISSING
FACILITY_3237711,5,3237711,UTTARAKHAND,CHAMOLI,NANDANAGAR,1,,,Kurar Gunth,Kurud Goonth,Ghat,,,MISSING,MISSING
FACILITY_7476487,5,7476487,UTTARAKHAND,CHAMOLI,POKHARI,1,,,Sarmola,Sarmola,Pokhari,,,MISSING,MISSING
FACILITY_5170371,4,5170371,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Badiya Sem,Silanga,Gairsain,,,MISSING,MISSING
FACILITY_9576433,2,9576433,UTTARAKHAND,CHAMOLI,DASHOLI,2,PIPALKOTI-Town Panchayat,Peepalkoti (NP)- Naurakh Peepalkoti Ward No.1,,,,,,MISSING,MISSING
FACILITY_3133689,6,3133689,UTTARAKHAND,CHAMOLI,POKHARI,2,POKHRI-Town Panchayat,Pokhri (NP) -Guniyala Ward No. 4,,,,,,MISSING,MISSING
FACILITY_1391137,3,1391137,UTTARAKHAND,CHAMOLI,Jyotirmath,2,Joshimath-Municipality,Joshimath (MB) - Painka-Maarwaadi Ward No.2,,,,,,MISSING,MISSING
FACILITY_2870641,1,2870641,UTTARAKHAND,CHAMOLI,NANDANAGAR,1,,,Motha,Chaka,Ghat,,,MISSING,MISSING
FACILITY_4857405,1,4857405,UTTARAKHAND,CHAMOLI,Jyotirmath,1,,,Ringi,Ringi,Joshimath,,,MISSING,MISSING
FACILITY_8057750,1,8057750,UTTARAKHAND,CHAMOLI,DEWAL,1,,,Harani Chak Mundoli,Harni,Dewal,,,MISSING,MISSING
FACILITY_9420024,1,9420024,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Jaikandi,Jaikandi (Barsoli),Karnaprayag,,,MISSING,MISSING
FACILITY_3943524,1,3943524,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Naugaon Malla,Moonson,Gairsain,,,MISSING,MISSING
FACILITY_4389030,1,4389030,UTTARAKHAND,CHAMOLI,DASHOLI,1,,,Nijmola,Nijmula,Dasholi,,,MISSING,MISSING
FACILITY_3522632,1,3522632,UTTARAKHAND,CHAMOLI,DEWAL,1,,,Kheta Manvati,Kheta Manmati,Dewal,,,MISSING,MISSING
FACILITY_3600118,1,3600118,UTTARAKHAND,CHAMOLI,NANDANAGAR,1,,,Kumartoli,Kumjug,Ghat,,,MISSING,MISSING
FACILITY_9735821,1,9735821,UTTARAKHAND,CHAMOLI,DASHOLI,1,,,Mahargaon,Lwanh,Dasholi,,,MISSING,MISSING
FACILITY_3907543,1,3907543,UTTARAKHAND,CHAMOLI,THARALI,1,,,Dhungakholi,Dungakholi,Tharali,,,MISSING,MISSING
FACILITY_2546919,1,2546919,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Swarka,Chulakot,Karnaprayag,,,MISSING,MISSING
FACILITY_3740033,1,3740033,UTTARAKHAND,CHAMOLI,DEWAL,1,,,Ulangra,Ulangra,Dewal,,,MISSING,MISSING
FACILITY_7315174,1,7315174,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Kandara,Kandara,Karnaprayag,,,MISSING,MISSING
FACILITY_2198987,1,2198987,UTTARAKHAND,CHAMOLI,Jyotirmath,1,,,Pokhani Urf Pokhari,Pokhani,Joshimath,,,MISSING,MISSING
FACILITY_8873227,1,8873227,UTTARAKHAND,CHAMOLI,Jyotirmath,1,,,Tugasi,Regdi,Joshimath,,,MISSING,MISSING
FACILITY_8436626,1,8436626,UTTARAKHAND,CHAMOLI,NANDANAGAR,1,,,Bhairni,Bherni,Ghat,,,MISSING,MISSING
FACILITY_8467816,4,8467816,UTTARAKHAND,CHAMOLI,NARAYANBAGAR,1,,,Ased,Aser,Narayanbagar,,,MISSING,MISSING
FACILITY_5670829,4,5670829,UTTARAKHAND,CHAMOLI,POKHARI,1,,,Nail,Nel,Pokhari,,,MISSING,MISSING
FACILITY_2555804,5,2555804,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Kushrani Talli,Kusrani Talli,Gairsain,,,MISSING,MISSING
FACILITY_3840891,4,3840891,UTTARAKHAND,CHAMOLI,NARAYANBAGAR,1,,,Harmani Talli,Harmani Talli,Narayanbagar,,,MISSING,MISSING
FACILITY_6235394,4,6235394,UTTARAKHAND,CHAMOLI,NARAYANBAGAR,1,,,Gadseer,Garhasera,Narayanbagar,,,MISSING,MISSING
FACILITY_7705468,7,7705468,UTTARAKHAND,CHAMOLI,THARALI,1,,,Kakhda,Kakhada,Tharali,,,MISSING,MISSING
FACILITY_7863935,7,7863935,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Pudiyani,Pudiyani,Karnaprayag,,,MISSING,MISSING
FACILITY_9242415,5,9242415,UTTARAKHAND,CHAMOLI,DASHOLI,1,,,Nagartangsa,Tangsa,Dasholi,,,MISSING,MISSING
FACILITY_1890783,5,1890783,UTTARAKHAND,CHAMOLI,THARALI,2,Tharali-Town Panchayat,Tharali (NP) - Uper Bazaar Tharali Ward No. 3,,,,,,MISSING,MISSING
FACILITY_2965943,2,2965943,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Khal Kumkhori,Khal (Kumkholi),Gairsain,,,MISSING,MISSING
FACILITY_6154957,1,6154957,UTTARAKHAND,CHAMOLI,NANDANAGAR,1,,,Jokhana,Aala Jokhana,Ghat,,,MISSING,MISSING
FACILITY_6824113,1,6824113,UTTARAKHAND,CHAMOLI,POKHARI,1,,,Tunji,Tonaji,Pokhari,,,MISSING,MISSING
FACILITY_1767209,1,1767209,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Aind,End,Karnaprayag,,,MISSING,MISSING
FACILITY_3874880,1,3874880,UTTARAKHAND,CHAMOLI,POKHARI,1,,,Kandei,Kandai,Pokhari,,,MISSING,MISSING
FACILITY_8712680,1,8712680,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Chhimatha,Chhimta,Gairsain,,,MISSING,MISSING
FACILITY_8741847,1,8741847,UTTARAKHAND,CHAMOLI,Jyotirmath,2,Joshimath-Municipality,Joshimath (MB) - Ravigram Ward No.9,,,,,,MISSING,MISSING
FACILITY_3087264,1,3087264,UTTARAKHAND,CHAMOLI,DASHOLI,1,,,Lwanh,Lwanh,Dasholi,,,MISSING,MISSING
FACILITY_2979472,1,2979472,UTTARAKHAND,CHAMOLI,THARALI,1,,,Kakhda,Kakhada,Tharali,,,MISSING,MISSING
FACILITY_5096815,1,5096815,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Sumerpur,Sumerpur,Gairsain,,,MISSING,MISSING
FACILITY_5704036,1,5704036,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Dungri,Dungri,Gairsain,,,MISSING,MISSING
FACILITY_1294087,1,1294087,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Kola Dungari,Kola Dungri,Karnaprayag,,,MISSING,MISSING
FACILITY_2592242,1,2592242,UTTARAKHAND,CHAMOLI,POKHARI,2,POKHRI-Town Panchayat,Pokhri (NP) -Pokhri Lower Ward No. 2,,,,,,MISSING,MISSING
FACILITY_9711359,1,9711359,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Pindawali,Pindwali,Gairsain,,,MISSING,MISSING
FACILITY_7016854,1,7016854,UTTARAKHAND,CHAMOLI,Jyotirmath,1,,,Dumak,Dumak,Joshimath,,,MISSING,MISSING
FACILITY_1054871,1,1054871,UTTARAKHAND,CHAMOLI,THARALI,1,,,Main,Main,Tharali,,,MISSING,MISSING
FACILITY_8867722,1,8867722,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Kali Mati,Kalimati,Gairsain,,,MISSING,MISSING
FACILITY_7405441,1,7405441,UTTARAKHAND,CHAMOLI,POKHARI,1,,,Valli,Valli,Pokhari,,,MISSING,MISSING
FACILITY_7841035,1,7841035,UTTARAKHAND,CHAMOLI,POKHARI,1,,,Toli Laaga Gailung,Toli,Pokhari,,,MISSING,MISSING
FACILITY_8086157,1,8086157,UTTARAKHAND,CHAMOLI,POKHARI,1,,,Trishula,Trishula,Pokhari,,,MISSING,MISSING
FACILITY_7055128,1,7055128,UTTARAKHAND,CHAMOLI,DEWAL,1,,,Udaypur Laga Choting,Udaypur,Dewal,,,MISSING,MISSING
FACILITY_7524390,1,7524390,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Thirpak,Thirpak,Karnaprayag,,,MISSING,MISSING
FACILITY_1026198,1,1026198,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Chamola,Chamola,Karnaprayag,,,MISSING,MISSING
FACILITY_9650468,1,9650468,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Bangaon Malla,Banagoan,Karnaprayag,,,MISSING,MISSING
FACILITY_8486188,4,8486188,UTTARAKHAND,CHAMOLI,DASHOLI,1,,,Pana,Pana,Dasholi,,,MISSING,MISSING
FACILITY_7245067,1,7245067,UTTARAKHAND,CHAMOLI,Jyotirmath,1,,,Tapon,Dwing Tapaun,Joshimath,,,MISSING,MISSING
FACILITY_6298139,7,6298139,UTTARAKHAND,CHAMOLI,POKHARI,1,,,Sarna,Sharana,Pokhari,,,MISSING,MISSING
FACILITY_4957986,5,4957986,UTTARAKHAND,CHAMOLI,KARANPRAYAG,2,Gochar-Municipality,Gochar (NP) -Rawalnagar Talla Ward No.2,,,,,,MISSING,MISSING
FACILITY_1953530,4,1953530,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Ghatuda,Ghatora,Karnaprayag,,,MISSING,MISSING
FACILITY_3480324,5,3480324,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Malai,Malai,Gairsain,,,MISSING,MISSING
FACILITY_6238303,5,6238303,UTTARAKHAND,CHAMOLI,Jyotirmath,1,,,Urgam,Urgam,Joshimath,,,MISSING,MISSING
FACILITY_3752308,1,3752308,UTTARAKHAND,CHAMOLI,DEWAL,1,,,Silkhola Laga Ichchholi,Dewal (Selkhola),Dewal,,,MISSING,MISSING
FACILITY_1610172,1,1610172,UTTARAKHAND,CHAMOLI,DEWAL,1,,,Palwara Laga Odar,Palwara,Dewal,,,MISSING,MISSING
FACILITY_4844563,1,4844563,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Gadauta,Malkot,Gairsain,,,MISSING,MISSING
FACILITY_2680102,1,2680102,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Uttari Jhuma Khet,Jhumakhet Uttari,Gairsain,,,MISSING,MISSING
FACILITY_1746209,2,1746209,UTTARAKHAND,CHAMOLI,DASHOLI,2,Chamoli Gopeshwar-Municipality,Chamoli Gopeshwar (MB) -Subhash Nagar Shivaji Ward No.7,,,,,,MISSING,MISSING
FACILITY_9974473,1,9974473,UTTARAKHAND,CHAMOLI,NANDANAGAR,1,,,Bhainti,Bhenti,Ghat,,,MISSING,MISSING
FACILITY_3752644,2,3752644,UTTARAKHAND,CHAMOLI,KARANPRAYAG,2,Karnaprayag-Municipality,Karnaprayag (NP) -Gaandhinagar Ward No.1,,,,,,MISSING,MISSING
FACILITY_2052302,1,2052302,UTTARAKHAND,CHAMOLI,DASHOLI,1,,,Harmani,Harmani,Dasholi,,,MISSING,MISSING
FACILITY_3009090,1,3009090,UTTARAKHAND,CHAMOLI,DASHOLI,1,,,Bemru,Bemaru,Dasholi,,,MISSING,MISSING
