settlement_id,settlement_name,STATE,DISTRICT,SUBDISTT,TOWN/VILLAGE,WARD,LEVEL,settlement_type,NO_HH,households,TOT_P,TOT_M,TOT_F,population_2011,population,population_growth,population_growth_pct,POPULATION_YEAR,SOURCE,NAME_CLEAN,latitude,longitude,coordinate_source,coordinate_confidence,matched_address,geocoding_query
SETTLEMENT_40843,Tangni malli,5,57,284,40843,0,VILLAGE,Rural,73,73,304,151,153,304,358,54,17.763157894736842,2011,Census of India - Population Census 2011,TANGNI MALLI,,,MISSING,MISSING,,
SETTLEMENT_40844,Jalgwar,5,57,284,40844,0,VILLAGE,Rural,77,77,360,185,175,360,424,64,17.77777777777778,2011,Census of India - Population Census 2011,JALGWAR,,,MISSING,MISSING,,
SETTLEMENT_40845,Pakhi,5,57,284,40845,0,VILLAGE,Rural,96,96,365,184,181,365,430,65,17.80821917808219,2011,Census of India - Population Census 2011,PAKHI,30.4656853,79.4513854,OpenStreetMap Nominatim,MEDIUM,"Pakhi, NH7, Garurganga, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Pakhi, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40846,Marwadi Chak Pakhi,5,57,284,40846,0,VILLAGE,Rural,31,31,157,109,48,157,185,28,17.8343949044586,2011,Census of India - Population Census 2011,MARWADI CHAK PAKHI,,,MISSING,MISSING,,
SETTLEMENT_40847,Darmi,5,57,284,40847,0,VILLAGE,Rural,19,19,95,51,44,95,112,17,17.894736842105264,2011,Census of India - Population Census 2011,DARMI,30.4620539,79.4908905,OpenStreetMap Nominatim,MEDIUM,"Darmi Ganga, Darni, Ganaj, Joshimath Tehsil, Chamoli, Uttarakhand, India","Darmi, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40848,Noligwar,5,57,284,40848,0,VILLAGE,Rural,25,25,112,54,58,112,132,20,17.857142857142858,2011,Census of India - Population Census 2011,NOLIGWAR,,,MISSING,MISSING,,
SETTLEMENT_40849,Pagnau,5,57,284,40849,0,VILLAGE,Rural,94,94,390,188,202,390,460,70,17.94871794871795,2011,Census of India - Population Census 2011,PAGNAU,30.4945351,79.4962988,OpenStreetMap Nominatim,MEDIUM,"Pagnau, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Pagnau, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40850,Molta,5,57,284,40850,0,VILLAGE,Rural,92,92,442,222,220,442,521,79,17.873303167420815,2011,Census of India - Population Census 2011,MOLTA,30.4831116,79.5207657,OpenStreetMap Nominatim,MEDIUM,"Molta, Joshimath Tehsil, Chamoli, Uttarakhand, India","Molta, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40851,Ganai,5,57,284,40851,0,VILLAGE,Rural,107,107,450,240,210,450,530,80,17.77777777777778,2011,Census of India - Population Census 2011,GANAI,30.4729745,79.5020465,OpenStreetMap Nominatim,MEDIUM,"SubCentre, Ganai, NH7, Lapon, Langsi, Chamoli, Uttarakhand, 246472, India","Ganai, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40852,Bhalgaon,5,57,284,40852,0,VILLAGE,Rural,42,42,167,76,91,167,197,30,17.964071856287426,2011,Census of India - Population Census 2011,BHALGAON,29.8803893,78.6039167,OpenStreetMap Nominatim,MEDIUM,"Bhalgaon, Dādāmandi, Kotdwara, Pauri Garhwal, Uttarakhand, 246124, India","Bhalgaon, Uttarakhand, India"
SETTLEMENT_40853,Longsagari,5,57,284,40853,0,VILLAGE,Rural,27,27,100,56,44,100,118,18,18.0,2011,Census of India - Population Census 2011,LONGSAGARI,,,MISSING,MISSING,,
SETTLEMENT_40854,Fagti,5,57,284,40854,0,VILLAGE,Rural,0,0,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,FAGTI,,,MISSING,MISSING,,
SETTLEMENT_40855,Pagrasu,5,57,284,40855,0,VILLAGE,Rural,20,20,56,27,29,56,66,10,17.857142857142858,2011,Census of India - Population Census 2011,PAGRASU,,,MISSING,MISSING,,
SETTLEMENT_40856,Tolma,5,57,284,40856,0,VILLAGE,Rural,74,74,429,299,130,429,506,77,17.94871794871795,2011,Census of India - Population Census 2011,TOLMA,30.5239133,79.752224,OpenStreetMap Nominatim,MEDIUM,"Tolma, Suraithota, Joshimath Tehsil, Chamoli, Uttarakhand, India","Tolma, Joshimath, Chamoli, Uttarakhand, India"
