settlement_id,settlement_name,STATE,DISTRICT,SUBDISTT,TOWN/VILLAGE,WARD,LEVEL,settlement_type,NO_HH,households,TOT_P,TOT_M,TOT_F,population_2011,population,population_growth,population_growth_pct,POPULATION_YEAR,SOURCE,NAME_CLEAN
SETTLEMENT_40854,Fagti,5,57,284,40854,0,VILLAGE,Rural,0,0,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,FAGTI
SETTLEMENT_40855,Pagrasu,5,57,284,40855,0,VILLAGE,Rural,20,20,56,27,29,56,66,10,17.857142857142858,2011,Census of India - Population Census 2011,PAGRASU
SETTLEMENT_40856,Tolma,5,57,284,40856,0,VILLAGE,Rural,74,74,429,299,130,429,506,77,17.94871794871795,2011,Census of India - Population Census 2011,TOLMA
SETTLEMENT_40857,Sukhi,5,57,284,40857,0,VILLAGE,Rural,43,43,174,88,86,174,205,31,17.81609195402299,2011,Census of India - Population Census 2011,SUKHI
SETTLEMENT_40858,Kuraipani,5,57,284,40858,0,VILLAGE,Rural,8,8,28,17,11,28,33,5,17.857142857142858,2011,Census of India - Population Census 2011,KURAIPANI
SETTLEMENT_40859,Aira,5,57,284,40859,0,VILLAGE,Rural,5,5,21,11,10,21,25,4,19.047619047619047,2011,Census of India - Population Census 2011,AIRA
SETTLEMENT_40860,Inara,5,57,284,40860,0,VILLAGE,Rural,0,0,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,INARA
SETTLEMENT_40861,Khancha talla,5,57,284,40861,0,VILLAGE,Rural,2,2,13,6,7,13,15,2,15.384615384615385,2011,Census of India - Population Census 2011,KHANCHA TALLA
SETTLEMENT_40862,Khancha malla,5,57,284,40862,0,VILLAGE,Rural,3,3,12,6,6,12,14,2,16.666666666666664,2011,Census of India - Population Census 2011,KHANCHA MALLA
SETTLEMENT_40863,Merag,5,57,284,40863,0,VILLAGE,Rural,100,100,451,231,220,451,531,80,17.738359201773836,2011,Census of India - Population Census 2011,MERAG
SETTLEMENT_40864,Bara gaon,5,57,284,40864,0,VILLAGE,Rural,195,195,792,394,398,792,933,141,17.803030303030305,2011,Census of India - Population Census 2011,BARA GAON
SETTLEMENT_40865,Payya chormi,5,57,284,40865,0,VILLAGE,Rural,30,30,134,67,67,134,158,24,17.91044776119403,2011,Census of India - Population Census 2011,PAYYA CHORMI
SETTLEMENT_40866,Dhak,5,57,284,40866,0,VILLAGE,Rural,99,99,422,215,207,422,497,75,17.77251184834123,2011,Census of India - Population Census 2011,DHAK
SETTLEMENT_40867,Kundikhola,5,57,284,40867,0,VILLAGE,Rural,42,42,180,88,92,180,212,32,17.77777777777778,2011,Census of India - Population Census 2011,KUNDIKHOLA
SETTLEMENT_40868,Tugasi,5,57,284,40868,0,VILLAGE,Rural,44,44,230,116,114,230,271,41,17.82608695652174,2011,Census of India - Population Census 2011,TUGASI
SETTLEMENT_40869,Raigari,5,57,284,40869,0,VILLAGE,Rural,24,24,97,48,49,97,114,17,17.525773195876287,2011,Census of India - Population Census 2011,RAIGARI
SETTLEMENT_40870,Karchi,5,57,284,40870,0,VILLAGE,Rural,68,68,328,158,170,328,386,58,17.682926829268293,2011,Census of India - Population Census 2011,KARCHI
SETTLEMENT_40871,Bilagar,5,57,284,40871,0,VILLAGE,Rural,26,26,97,46,51,97,114,17,17.525773195876287,2011,Census of India - Population Census 2011,BILAGAR
SETTLEMENT_40872,Chamtoli,5,57,284,40872,0,VILLAGE,Rural,25,25,122,77,45,122,144,22,18.0327868852459,2011,Census of India - Population Census 2011,CHAMTOLI
SETTLEMENT_40873,Topovan,5,57,284,40873,0,VILLAGE,Rural,270,270,1064,605,459,1064,1254,190,17.857142857142858,2011,Census of India - Population Census 2011,TOPOVAN
SETTLEMENT_40874,Gahar,5,57,284,40874,0,VILLAGE,Rural,11,11,50,28,22,50,59,9,18.0,2011,Census of India - Population Census 2011,GAHAR
SETTLEMENT_40875,Bhangyul,5,57,284,40875,0,VILLAGE,Rural,48,48,241,124,117,241,284,43,17.842323651452283,2011,Census of India - Population Census 2011,BHANGYUL
SETTLEMENT_40876,Karachhon,5,57,284,40876,0,VILLAGE,Rural,83,83,429,212,217,429,506,77,17.94871794871795,2011,Census of India - Population Census 2011,KARACHHON
SETTLEMENT_40877,Badal Gaitha,5,57,284,40877,0,VILLAGE,Rural,0,0,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,BADAL GAITHA
SETTLEMENT_40878,Juwagwar,5,57,284,40878,0,VILLAGE,Rural,16,16,59,27,32,59,70,11,18.64406779661017,2011,Census of India - Population Census 2011,JUWAGWAR
SETTLEMENT_40879,Jugaju chak lata,5,57,284,40879,0,VILLAGE,Rural,10,10,36,18,18,36,42,6,16.666666666666664,2011,Census of India - Population Census 2011,JUGAJU CHAK LATA
SETTLEMENT_40880,Lata,5,57,284,40880,0,VILLAGE,Rural,84,84,305,145,160,305,359,54,17.704918032786885,2011,Census of India - Population Census 2011,LATA
SETTLEMENT_40881,Raini Chak Lata,5,57,284,40881,0,VILLAGE,Rural,48,48,145,106,39,145,171,26,17.93103448275862,2011,Census of India - Population Census 2011,RAINI CHAK LATA
SETTLEMENT_40882,Pang Chak Lata,5,57,284,40882,0,VILLAGE,Rural,32,32,125,52,73,125,147,22,17.599999999999998,2011,Census of India - Population Census 2011,PANG CHAK LATA
SETTLEMENT_40883,Morana Chak Subhai,5,57,284,40883,0,VILLAGE,Rural,5,5,23,11,12,23,27,4,17.391304347826086,2011,Census of India - Population Census 2011,MORANA CHAK SUBHAI
SETTLEMENT_40884,Subhai,5,57,284,40884,0,VILLAGE,Rural,126,126,569,295,274,569,670,101,17.75043936731107,2011,Census of India - Population Census 2011,SUBHAI
SETTLEMENT_40885,Raini Chak Subhai,5,57,284,40885,0,VILLAGE,Rural,56,56,258,188,70,258,304,46,17.829457364341085,2011,Census of India - Population Census 2011,RAINI CHAK SUBHAI
SETTLEMENT_40886,Ringi,5,57,284,40886,0,VILLAGE,Rural,68,68,273,129,144,273,322,49,17.94871794871795,2011,Census of India - Population Census 2011,RINGI
SETTLEMENT_40887,Bampa,5,57,284,40887,0,VILLAGE,Rural,60,60,192,85,107,192,226,34,17.708333333333336,2011,Census of India - Population Census 2011,BAMPA
SETTLEMENT_40888,Gamsali,5,57,284,40888,0,VILLAGE,Rural,108,108,383,182,201,383,451,68,17.75456919060052,2011,Census of India - Population Census 2011,GAMSALI
SETTLEMENT_40889,Niti,5,57,284,40889,0,VILLAGE,Rural,29,29,47,22,25,47,55,8,17.02127659574468,2011,Census of India - Population Census 2011,NITI
