source_settlement_id,source_settlement,source_district,source_population,relocation_demand,site_id,site_name,site_village,site_district,allocated_people,site_capacity_before,site_capacity_after,safe_site_score,accessibility_score,infrastructure_score,distance_km,distance_score,relocation_score,allocation_status,unallocated_reason
SETTLEMENT_40808,Mana,57,1430,1430,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40873,Topovan,57,1254,1254,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40810,Thaing,57,950,950,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40864,Bara gaon,57,933,933,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40824,Sailang,57,897,897,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40823,Paini,57,782,782,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40811,Arurhi Paturi,57,718,718,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40884,Subhai,57,670,670,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40822,Hailang,57,622,622,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40816,Chaien,57,608,608,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40863,Merag,57,531,531,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40834,Kimana,57,530,530,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40851,Ganai,57,530,530,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40850,Molta,57,521,521,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40856,Tolma,57,506,506,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40876,Karachhon,57,506,506,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40866,Dhak,57,497,497,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40841,Langsi,57,465,465,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40849,Pagnau,57,460,460,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40888,Gamsali,57,451,451,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
