source_settlement_id,source_settlement,source_population_2026_est,destination_site_id,destination_site,destination_village,allocated_people,ai_score,ai_rank,distance_km,site_safe_score,site_accessibility,site_infrastructure,site_capacity_original,site_capacity_remaining_after,destination_latitude,destination_longitude,allocation_status,allocation_reason
SETTLEMENT_40817,Urgam,1825,5998765,Educational Facility,Jakhola,37,38.472,55.0,3.647,41.82,40.0,90.0,37,0,30.507425,79.460068,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,8480335,Educational Facility,Bheta Chak Urgam,25,38.25,56.0,1.265,47.04,40.0,95.0,25,0,30.540621,79.469825,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,1198343,Educational Facility,Salna Chak Urgam,25,38.138,57.0,3.633,47.62,40.0,90.0,25,0,30.530055,79.492736,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,1163274,Educational Facility,Pagnau,25,38.088,58.0,6.332,47.04,40.0,95.0,25,0,30.4945351,79.4962988,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,4213259,Educational Facility,Pakhi,25,37.797,59.0,8.288,47.62,40.0,90.0,25,0,30.4656853,79.4513854,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,9152790,Educational Facility,Darmi,25,37.735,60.0,9.277,47.04,40.0,95.0,25,0,30.4620539,79.4908905,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,7016854,Educational Facility,Dumak,25,37.355,61.0,7.93,43.62,40.0,90.0,25,0,30.5072396,79.3831468,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,9285948,Educational Facility,Bhalgaon,37,37.209,62.0,26.562,48.68,40.0,90.0,37,0,30.519004,79.732875,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,6937665,Educational Facility,Kalgoth,25,37.151,63.0,4.768,46.87,40.0,85.0,25,0,30.516532,79.415042,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,5948233,Educational Facility,Ganai,50,37.131,64.0,8.638,38.74,40.0,70.0,50,0,30.4729745,79.5020465,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,5050781,Educational Facility,Thaing,25,36.964,65.0,5.874,45.54,40.0,85.0,25,0,30.5667243,79.5096105,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,2096227,Educational Facility,Molta,25,36.526,66.0,8.825,45.54,40.0,85.0,25,0,30.4831116,79.5207657,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,2183882,Educational Facility,Lanji,25,36.061,67.0,6.641,36.97,40.0,85.0,25,0,30.480797,79.4483104,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,9477191,Educational Facility,Noligwar,25,35.89,68.0,7.497,45.37,40.0,75.0,25,0,30.480475,79.493199,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,6429263,Educational Facility,Payya Chormi,25,35.854,69.0,14.792,47.62,40.0,90.0,25,0,30.517371,79.608799,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,6166946,Educational Facility,Kimana,37,35.85,70.0,4.71,36.18,20.0,60.0,37,0,30.4978872,79.4523689,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,8435333,Educational Facility,Bhangyul,37,35.791,71.0,17.52,45.68,40.0,90.0,37,0,30.4956893,79.6321168,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,3818141,Educational Facility,Malari,25,35.769,72.0,44.418,49.12,40.0,100.0,25,0,30.6845508,79.8893688,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,4857405,Educational Facility,Ringi,25,33.467,73.0,17.013,45.37,40.0,75.0,25,0,30.4780383,79.618965,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,9950226,Educational Facility,Mana,25,31.844,74.0,47.684,43.29,40.0,70.0,25,0,30.9671228,79.4109692,ALLOCATED,AI-ranked geographically verified safe site with available capacity
