site_id,site_name,site_cluster,village_name,urban_local_body_name,ward_name,block_name,district_name,matched_settlement_id,matched_address,latitude,longitude,coordinate_confidence,coordinate_match_method,school_category_code,school_type_code,total_classrooms,good_classrooms,minor_repair_classrooms,major_repair_classrooms,normal_classroom_capacity,temporary_capacity,available_capacity,building_score,road_score,water_score,electricity_score,land_score,boundary_wall_score,safety_score,accessibility_score,capacity_score,infrastructure_score,facility_suitability_score,safe_site_score,nearest_settlement_id,nearest_settlement_name,nearest_settlement_distance_km,site_status
3683502,Educational Facility,Bursol,Bursol,,,Tharali,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,0.0,100.0,100.0,0.0,0.0,100.0,40.0,6.061,75.0,61.515,45.37,,,,LOW_SUITABILITY
7607543,Educational Facility,Padli,Padli,,,Karnaprayag,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,3,3,0,0,75,37.5,38,100.0,0.0,100.0,100.0,100.0,0.0,100.0,40.0,9.091,90.0,62.273,48.68,,,,LOW_SUITABILITY
1700764,Educational Facility,Chaunda,Chaunda,,,Tharali,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,6.061,85.0,76.515,64.87,,,,MEDIUM_SUITABILITY
8710201,Educational Facility,Pungaon,Pungaon,,,Gairsain,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,7,3,5,2,0,3,50,25.0,25,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.061,100.0,58.515,59.92,,,,MEDIUM_SUITABILITY
8618165,Educational Facility,Gadkot,Gadkot,,,Narayanbagar,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,5,3,10,4,3,3,100,50.0,50,40.0,0.0,100.0,100.0,100.0,0.0,100.0,40.0,12.121,90.0,45.03,42.54,,,,LOW_SUITABILITY
3251176,Educational Facility,Dhamak,Dhamak,,,Pokhari,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,5,3,7,4,3,0,100,50.0,50,57.143,0.0,100.0,100.0,100.0,0.0,100.0,40.0,12.121,90.0,50.173,44.6,,,,LOW_SUITABILITY
5247968,Educational Facility,Himani Chack Bahantara,Himani Chack Bahantara,,,Dewal,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,100.0,100.0,0.0,0.0,0.0,100.0,80.0,6.061,45.0,66.515,50.87,,,,MEDIUM_SUITABILITY
3478590,Educational Facility,Hailang,Hailang,,,Joshimath,CHAMOLI,SETTLEMENT_40822,Hailang,30.525162,79.500225,MEDIUM,VILLAGE_NAME,4,3,4,4,0,0,100,50.0,50,100.0,0.0,100.0,100.0,100.0,0.0,100.0,40.0,12.121,90.0,63.03,49.74,SETTLEMENT_40822,Hailang,0.0,LOW_SUITABILITY
3237711,Educational Facility,Kurar Gunth,Kurar Gunth,,,Ghat,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,5,3,8,7,1,0,175,87.5,88,87.5,100.0,100.0,100.0,100.0,0.0,100.0,100.0,21.212,90.0,76.553,69.42,,,,MEDIUM_SUITABILITY
7476487,Educational Facility,Sarmola,Sarmola,,,Pokhari,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,5,3,9,4,4,1,100,50.0,50,44.444,100.0,100.0,100.0,100.0,0.0,100.0,100.0,12.121,90.0,61.364,61.08,,,,MEDIUM_SUITABILITY
