Data Acquisition Time,_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Telemetry Hourly Rainfall (mm),rainfall_mm_1h,rainfall_mm_6h,rainfall_mm_24h,antecedent_rainfall_mm_15d,predicted_rainfall_6h,rainfall_mm_6h_q75,rainfall_mm_6h_q90,rainfall_mm_6h_q95,rainfall_mm_24h_q75,rainfall_mm_24h_q90,rainfall_mm_24h_q95,antecedent_rainfall_mm_15d_q75,antecedent_rainfall_mm_15d_q90,antecedent_rainfall_mm_15d_q95,rainfall_score_1h,rainfall_score_6h,rainfall_score_24h,rainfall_score_15d,rainfall_score_forecast_6h,rainfall_risk_score,rainfall_risk_status,rainfall_risk_category,extreme_rainfall_flag,rainfall_alert_status
2026-07-08 04:00:00,2412,2412,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,2.5,2.5,,,126.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-08 05:00:00,2413,2413,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,2.5,2.5,,,128.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-08 08:00:00,2414,2414,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,131.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-08 09:00:00,2415,2415,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,1.0,1.0,,,131.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-08 11:00:00,2416,2416,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,2.0,2.0,,,132.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-08 12:00:00,2417,2417,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,8.0,8.0,,,134.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-08 13:00:00,2418,2418,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,6.5,6.5,,,142.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-08 14:00:00,2419,2419,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,3.0,3.0,,,148.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-08 15:00:00,2420,2420,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,1.5,1.5,,,151.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-09 00:00:00,2421,2421,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,2.0,2.0,,,152.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-09 01:00:00,2422,2422,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,6.0,6.0,,,154.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-09 02:00:00,2423,2423,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,5.5,5.5,,,160.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-09 03:00:00,2424,2424,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,4.0,4.0,,,166.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-09 04:00:00,2425,2425,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,4.0,4.0,,,170.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-09 05:00:00,2426,2426,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,5.5,5.5,27.0,,174.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,20.0,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-09 06:00:00,2427,2427,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,6.0,6.0,31.0,,179.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,50.0,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-09 07:00:00,2428,2428,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,4.5,4.5,29.5,,185.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,50.0,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-09 08:00:00,2429,2429,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,4.0,4.0,28.0,,190.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,50.0,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
